HE450B	450.00	300.00	26.00	14.00	27.00	21800.00	4480000.00	798900000.00	117200000.00	6300.00	13000.00	3550667.00	781333.00	3982000.00	1198000.00	191.43	73.32
HE500B	500.00	300.00	28.00	14.50	27.00	23900.00	5480000.00	1072000000.00	126200000.00	7250.00	14000.00	4288000.00	841333.00	4815000.00	1292000.00	211.79	72.67
HE550B	550.00	300.00	29.00	15.00	27.00	25400.00	6100000.00	1367000000.00	130800000.00	8250.00	14500.00	4970909.00	872000.00	5591000.00	1341000.00	231.99	71.76
HE600B	600.00	300.00	30.00	15.50	27.00	27000.00	6770000.00	1710000000.00	135300000.00	9300.00	15000.00	5700000.00	902000.00	6425000.00	1391000.00	251.66	70.79
HE650B	650.00	300.00	31.00	16.00	27.00	28600.00	7490000.00	2106000000.00	139800000.00	10400.00	15500.00	6480000.00	932000.00	7320000.00	1441000.00	271.36	69.92
HE700B	700.00	300.00	32.00	17.00	27.00	30600.00	8390000.00	2569000000.00	144400000.00	11900.00	16000.00	7340000.00	962667.00	8327000.00	1495000.00	289.75	68.69
HE800B	800.00	300.00	33.00	17.50	30.00	33400.00	9590000.00	3591000000.00	149000000.00	14000.00	16500.00	8977500.00	993333.00	10230000.00	1553000.00	327.89	66.79
HE900B	900.00	300.00	35.00	18.50	30.00	37100.00	11500000.00	4941000000.00	158200000.00	16650.00	17500.00	10980000.00	1054667.00	12580000.00	1658000.00	364.94	65.30
HE1000B	1000.00	300.00	36.00	19.00	30.00	40000.00	12670000.00	6447000000.00	162800000.00	19000.00	18000.00	12894000.00	1085333.00	14860000.00	1716000.00	401.47	63.80
HE160M	180.00	166.00	23.00	14.00	15.00	9710.00	1610000.00	50980000.00	17590000.00	2520.00	6363.00	566444.00	211928.00	675000.00	325000.00	72.46	42.56
HE180M	200.00	186.00	24.00	14.50	15.00	11300.00	2010000.00	74830000.00	25800000.00	2900.00	7440.00	748300.00	277419.00	883000.00	425000.00	81.38	47.78
HE200M	220.00	206.00	25.00	15.00	18.00	13100.00	2580000.00	106400000.00	36510000.00	3300.00	8583.00	967273.00	354466.00	1135000.00	543000.00	90.12	52.79
HE220M	240.00	226.00	26.00	15.50	18.00	14900.00	3130000.00	146000000.00	50120000.00	3720.00	9793.00	1216667.00	443540.00	1419000.00	679000.00	98.99	58.00
HE240M	270.00	248.00	32.00	18.00	21.00	20000.00	6260000.00	242900000.00	81530000.00	4860.00	13227.00	1799259.00	657500.00	2117000.00	1006000.00	110.20	63.85
HE260M	290.00	268.00	32.50	18.00	24.00	22000.00	7200000.00	313100000.00	104500000.00	5220.00	14517.00	2159310.00	779851.00	2524000.00	1192000.00	119.30	68.92
HE280M	310.00	288.00	33.00	18.50	24.00	24000.00	8070000.00	395500000.00	131600000.00	5735.00	15840.00	2551613.00	913889.00	2966000.00	1397000.00	128.37	74.05
HE300M	340.00	310.00	39.00	21.00	27.00	30300.00	14110000.00	592000000.00	194000000.00	7140.00	20150.00	3482353.00	1251613.00	4078000.00	1913000.00	139.78	80.02
